entity1,relation,entity2,merged_sentence,label
PDO,works with,database systems,pdo works with database systems,T
PDO,provides,access abstraction layer,pdo provides access abstraction layer,T
PDO,does not provide,a database abstraction,pdo does not provide a database abstraction,T
PDO,doesn't rewrite,SQL,pdo doesn't rewrite sql,T
PDO,emulate missing,missing features,pdo emulate missing missing features,T
PDO,uses,a DSN,pdo uses a dsn,T
PDO,define,the connection,pdo define the connection,T
PDO,has,connection options,pdo has connection options,T
connection options,can help,tune,connection options can help tune,T
A custom exception handler,is recommended to use,unhandled exceptions,a custom exception handler is recommended to use unhandled exceptions,T
PDO,has,handy methods,pdo has handy methods,T
The WebSockets protocol,described in,RFC,the websockets protocol described in rfc,T
The WebSockets API,has,full browser support,the websockets api has full browser support,T
Encrypted connections,use,URL scheme,encrypted connections use url scheme,T
Python,provides,data analysis,python provides data analysis,T
Python,provides,data mining,python provides data mining,T
semi-permanent data,operate under,databases,semi-permanent data operate under databases,T
that DISTINCT,doesn't have,valid applications,that distinct doesn't have valid applications,T
A UNION,concatenates,congruent data sets,a union concatenates congruent data sets,T
FFmpeg,is published under,the GNU Lesser General Public License,ffmpeg is published under the gnu lesser general public license,T
The Eloquent ORM,included with,Laravel,the eloquent orm included with laravel,T
The Eloquent ORM,provides,simple ActiveRecord implementation,the eloquent orm provides simple activerecord implementation,T
The Eloquent ORM,included with,Laravel,the eloquent orm included with laravel,T
The Eloquent ORM,provides,simple ActiveRecord implementation,the eloquent orm provides simple activerecord implementation,T
C++ Container framework,provides,vectors,c++ container framework provides vectors,T
Maps,may have,multiple keys,maps may have multiple keys,T
Java collections framework,provides,hash tables,java collections framework provides hash tables,T
Java collections framework,provides,stacks,java collections framework provides stacks,T
Java collections framework,provides,sets,java collections framework provides sets,T
Java collections framework,provides,queues,java collections framework provides queues,T
Java collections framework,provides,lists,java collections framework provides lists,T
Java collections framework,provides,hash tables,java collections framework provides hash tables,T
collections,work with,multiple threads,collections work with multiple threads,T
C++ Container framework,provides,specialized classes,c++ container framework provides specialized classes,T
C++ Container framework,provides,data storage,c++ container framework provides data storage,T
C++ Container framework,provides,retrieval,c++ container framework provides retrieval,T
language,used for,side scripting,language used for side scripting,F
language,used for,web browsers,language used for web browsers,F
JavaScript,be run outside of,the use,javascript be run outside of the use,F
answer,is expected for,questions,answer is expected for questions,F
an engine,is included in,mainstream web browsers,an engine is included in mainstream web browsers,F
The Mozilla Developer Network,contains,quality documentation,the mozilla developer network contains quality documentation,F
The Mozilla Developer Network,is also used in,addition,the mozilla developer network is also used in addition,F
The Mozilla Developer Network,is also used in,environments,the mozilla developer network is also used in environments,F
the language,was officially called,LiveScript,the language was officially called livescript,F
the language,shipped in,September,the language shipped in september,F
the language,shipped in,beta releases,the language shipped in beta releases,F
the language,was deployed in,the Netscape browser version 2.0B3,the language was deployed in the netscape browser version 2.0b3,F
Netscape adding support,adding,Netscape adding support,netscape adding support adding netscape adding support,F
Netscape adding support,adding,Netscape Netscape Netscape Navigator 2.0 web browser,netscape adding support adding netscape netscape netscape navigator 2.0 web browser,F
The final choice,caused,name caused confusion,the final choice caused name caused confusion,F
The final choice,giving,the impression,the final choice giving the impression,F
the choice,has been characterized as,a marketing ploy,the choice has been characterized as a marketing ploy,F
the term,originated from,Netscape,the term originated from netscape,F
ECMAScript,was developed as,a standardization,ecmascript was developed as a standardization,F
ECMAScript,was developed as,a standardization,ecmascript was developed as a standardization,F
people,do not distinguish,JScript variations,people do not distinguish jscript variations,F
browsers,implement,the ECMAScript 3 specification,browsers implement the ecmascript 3 specification,F
the ECMAScript 3 specification,does not contain,functions,the ecmascript 3 specification does not contain functions,F
JavaScript,provide,the potential,javascript provide the potential,F
the DOM,provide,the potential,the dom provide the potential,F
malicious authors,deliver,scripts,malicious authors deliver scripts,F
Browser authors,contain,this risk using two restrictions,browser authors contain this risk using two restrictions,F
scripts,perform,actions,scripts perform actions,F
scripts,perform,a sandbox,scripts perform a sandbox,F
scripts,are constrained by,origin policy,scripts are constrained by origin policy,F
access,sent to,another site,access sent to another site,F
code,is executed on,a Web page,code is executed on a web page,F
this tag,used in,conjunction,this tag used in conjunction,F
Java,has,level facilities,java has level facilities,F
The JVM,manages,the help,the jvm manages the help,F
The JVM,see,collection,the jvm see collection,F
Java,supports,features,java supports features,F
code,executes on,one platform,code executes on one platform,F
Sun Microsystems,merged with,Oracle Corporation,sun microsystems merged with oracle corporation,F
Sun Microsystems,merged with,January 27th,sun microsystems merged with january 27th,F
Java,was started as,June,java was started as june,F
computing systems,have installed,tools,computing systems have installed tools,F
The Java platform,features,a wide variety,the java platform features a wide variety,F
developers,work efficiently with,the Java programming language,developers work efficiently with the java programming language,F
The main reference implementation,is supported by,major companies including Oracle,the main reference implementation is supported by major companies including oracle,F
few computers,can run,Java programs,few computers can run java programs,F
Java apps,own,installers,java apps own installers,F
native code,compiled to target,version,native code compiled to target version,F
Java,can be compiled,Java,java can be compiled java,F
java code,need,a java installer package supplier,java code need a java installer package supplier,F
a supplier,will take,care,a supplier will take care,F
Java,comes in,LTS,java comes in lts,F
Java,comes in,non-LTS versions,java comes in non-lts versions,F
suppliers,release,all versions,suppliers release all versions,F
all versions,will support,LTS versions,all versions will support lts versions,F
The End,dates for,available distribution,the end dates for available distribution,F
Java programs,should adhere to,the following naming conventions,java programs should adhere to the following naming conventions,F
Java programs,decrease,the chances,java programs decrease the chances,F
others,understand,code,others understand code,F
People,ask about,the following Java topics,people ask about the following java topics,F
applications,need,a programmable interface,applications need a programmable interface,F
Python,runs on,the Mac,python runs on the mac,F
a large standard library,covers,areas,a large standard library covers areas,F
The language,comes with,a large standard library,the language comes with a large standard library,F
The Python Standard Library,get,an idea,the python standard library get an idea,F
Python,allows,programmers,python allows programmers,F
Python,express,concepts,python express concepts,F
Python,has,constructs,python has constructs,F
Guido van Rossum chose Python,chose,Guido van Rossum chose Python,guido van rossum chose python chose guido van rossum chose python,F
Guido van Rossum chose Python,chose,a working title,guido van rossum chose python chose a working title,F
a question,relates to,a specific version,a question relates to a specific version,F
Python,is also used in,a wide range,python is also used in a wide range,F
party tools,can be packaged into,standalone executable programs,party tools can be packaged into standalone executable programs,F
source software,has,development model,source software has development model,F
a wide variety,see,Python implementations,a wide variety see python implementations,F
The philosophy,is succinctly formulated in,The Zen,the philosophy is succinctly formulated in the zen,F
Python,uses,syntax,python uses syntax,F
Python,uses,many other languages,python uses many other languages,F
question,includes,issues,question includes issues,F
question,use,python,question use python,F
question,use,python-3.x,question use python-3.x,F
many beginners,face,canonical duplicate targets,many beginners face canonical duplicate targets,F
many beginners,face,the common questions,many beginners face the common questions,F
distributions,come with,pip,distributions come with pip,F
easy_install,was released in,part,easy_install was released in part,F
A simple Python library,is meant to simplify,many methods,a simple python library is meant to simplify many methods,F
connection,pooling are automatically handled to provide,ultimate simplicity,connection pooling are automatically handled to provide ultimate simplicity,F
an easy Python interface,modify,image files,an easy python interface modify image files,F
an easy Python interface,modify,many different ways,an easy python interface modify many different ways,F
A simple Python library,provide,an easy Python interface,a simple python library provide an easy python interface,F
websites,structured,data,websites structured data,F
extract,structured,data,extract structured data,F
websites,structured,websites pages,websites structured websites pages,F
extract,structured,websites pages,extract structured websites pages,F
web scraping framework,structured,data,web scraping framework structured data,F
Scrapy,can be used for,a wide range,scrapy can be used for a wide range,F
Beautiful Soup,creates,tree,beautiful soup creates tree,F
tree,can be used to extract,parsed pages,tree can be used to extract parsed pages,F
tree,can be used to extract,data,tree can be used to extract data,F
building Python applications,work with,human language data,building python applications work with human language data,F
building Python applications,work with,the processing,building python applications work with the processing,F
building Python applications,work with,human language data,building python applications work with human language data,F
building Python applications,work with,the processing,building python applications work with the processing,F
question,has,anything,question has anything,F
dependencies,allows for,freedom,dependencies allows for freedom,F
dependencies,allows for,control,dependencies allows for control,F
other applications,require,lived connection,other applications require lived connection,F
web framework,enables,developers,web framework enables developers,F
source code,is developed in,time,source code is developed in time,F
A lightweight web framework,combines,ideas,a lightweight web framework combines ideas,F
the emerging WSGI standard,allows,flexibility,the emerging wsgi standard allows flexibility,F
the current development,is being led by,Mark Ramm,the current development is being led by mark ramm,F
The bottle,has,no dependencies,the bottle has no dependencies,F
The bottle,is distributed as,a single file module,the bottle is distributed as a single file module,F
Additional Material Objects,are available via,KivyMD,additional material objects are available via kivymd,F
some features,be available in,the free version,some features be available in the free version,F
Tkinter,using,using Tk,tkinter using using tk,F
Tkinter,is popular for,Tkinter simplicity,tkinter is popular for tkinter simplicity,F
many users,can help,questions,many users can help questions,F
inserts,displays,the natural GUI,inserts displays the natural gui,F
little code,displays,the natural GUI,little code displays the natural gui,F
NumPy,contains among,other things,numpy contains among other things,F
a multidimensional array,is used as,the basic data structure,a multidimensional array is used as the basic data structure,F
a multidimensional array,is used as,SciPy,a multidimensional array is used as scipy,F
Theano,does on,the interface Python code making Theano,theano does on the interface python code making theano,F
the interface Python code making Theano,optimized using,routines,the interface python code making theano optimized using routines,F
Blender,supports,the entirety,blender supports the entirety,F
source machine learning library,written in,Python,source machine learning library written in python,F
question,has,anything,question has anything,F
a Python package,wraps,C,a python package wraps c,F
The original PHP project,stands for,Today,the original php project stands for today,F
The original PHP project,stands for,the recursive acronym PHP,the original php project stands for the recursive acronym php,F
stable release,can be found on,the PHP website,stable release can be found on the php website,F
development changes,can be found on,the PHP website,development changes can be found on the php website,F
development branches,can be found on,the PHP website,development branches can be found on the php website,F
the source code,is available at,PHP's GitHub repository,the source code is available at php's github repository,F
any other Linux PHP,provides,web server,any other linux php provides web server,F
these applications,include,other components,these applications include other components,F
web server,can be started using,the following command,web server can be started using the following command,F
the server,will listen on,port,the server will listen on port,F
all relevant code,be included in,question,all relevant code be included in question,F
all relevant code,be included in,answer,all relevant code be included in answer,F
All versions,have been announced,end,all versions have been announced end,F
PHP,installed on,machine,php installed on machine,F
The PEAR repository,contains,classes,the pear repository contains classes,F
the PHP Framework Interop Group,has created,sets,the php framework interop group has created sets,F
PHP,supports,a wide range,php supports a wide range,F
All modern versions,include,PDO,all modern versions include pdo,F
database support,have surfaced,including Apache Thrift,database support have surfaced including apache thrift,F
database support,have surfaced,MongoDB,database support have surfaced mongodb,F
database support,have surfaced,Redis,database support have surfaced redis,F
database support,have surfaced,others,database support have surfaced others,F
party contributions,are,the vast functionality,party contributions are the vast functionality,F
a package management tool,inspired by,npm,a package management tool inspired by npm,F
a package management tool,inspired by,Ruby,a package management tool inspired by ruby,F
project dependencies,be specified in,a JSON file,project dependencies be specified in a json file,F
Composer,uses,packages,composer uses packages,F
Composer,uses,Packagist,composer uses packagist,F
Packagist,is rapidly growing to contain,popular PHP libraries,packagist is rapidly growing to contain popular php libraries,F
Software,downloaded with,Composer,software downloaded with composer,F
a number,have been proposed,the PHP Framework Interop Group,a number have been proposed the php framework interop group,F
a number,have been proposed,the PHP Framework Interop Group,a number have been proposed the php framework interop group,F
coding standards,are known as,the PHP Standards Recommendations,coding standards are known as the php standards recommendations,F
status,can be found on,FIG Recommendations page,status can be found on fig recommendations page,F
status,can be found on,the PHP Standards Recommendations,status can be found on the php standards recommendations,F
Android,is based on,version,android is based on version,F
Google,Wear,OS,google wear os,F
Google,has further developed,addition,google has further developed addition,F
Google,Wear,wrist watches,google wear wrist watches,F
Variants,are also used on,other electronics,variants are also used on other electronics,F
Variants,are also used on,game,variants are also used on game,F
Variants,are also used on,digital cameras,variants are also used on digital cameras,F
Variants,are also used on,PCs,variants are also used on pcs,F
app,has stopped,problem,app has stopped problem,F
app,has stopped,app,app has stopped app,F
app,has stopped,any other exception,app has stopped any other exception,F
specific tags,are used for,developer assistance,specific tags are used for developer assistance,F
specific tags,are meant for,libraries,specific tags are meant for libraries,F
butterknife otto picassogreendao Android Developers,Contains,documentation,butterknife otto picassogreendao android developers contains documentation,F
The Google Maps API port,provides,information,the google maps api port provides information,F
other Android developer support sites,are,addition,other android developer support sites are addition,F
Questions regarding HTML,should include,some idea,questions regarding html should include some idea,F
Questions regarding HTML,should include,a minimal reproducible example,questions regarding html should include a minimal reproducible example,F
This tag,is often paired with,javascript,this tag is often paired with javascript,F
This tag,is often paired with,CSS,this tag is often paired with css,F
HTML,describes,the structure,html describes the structure,F
A browser,renders,HTML,a browser renders html,F
conjunction,defines,style,conjunction defines style,F
conjunction,defines,dynamic elements,conjunction defines dynamic elements,F
conjunction,defines,JavaScript,conjunction defines javascript,F
HTML Tags,borrowed,the syntax,html tags borrowed the syntax,F
HTML,provides,a means,html provides a means,F
JavaScript,affects,the behavior,javascript affects the behavior,F
Web pages,written in,different programming languages,web pages written in different programming languages,F
the opening tag,includes,a forward slash,the opening tag includes a forward slash,F
Various types,can be contained within,these tags,various types can be contained within these tags,F
Web browsers,read,these documents,web browsers read these documents,F
Web browsers,render,Web browsers,web browsers render web browsers,F
iteration,was recently developed by,the W3C,iteration was recently developed by the w3c,F
W3C,calls,HTML5,w3c calls html5,F
Standard,is specified by,WHATWG,standard is specified by whatwg,F
interactive parts,are programmed,JavaScript,interactive parts are programmed javascript,F
A question,should be related to,jQuery,a question should be related to jquery,F
jQuery,should be used by,the code,jquery should be used by the code,F
jQuery,should be used by,question,jquery should be used by question,F
jQuery,related,jQuery usage,jquery related jquery usage,F
jQuery,simplifies,animation,jquery simplifies animation,F
jQuery,simplifies,API,jquery simplifies api,F
API,works across,browsers,api works across browsers,F
jQuery,provides,a platform,jquery provides a platform,F
plugins,extend,jQuery capabilities,plugins extend jquery capabilities,F
jQuery,create,plugins,jquery create plugins,F
The development,is coordinated by,the jQuery Foundation,the development is coordinated by the jquery foundation,F
jQuery,supports,the current stable version,jquery supports the current stable version,F
the preceding version,supports,the current stable version,the preceding version supports the current stable version,F
1 version,supports,the current stable version,1 version supports the current stable version,F
jQuery,supports,addition,jquery supports addition,F
IE,was dropped by,jQuery 2.x,ie was dropped by jquery 2.x,F
jQuery,provides,download links,jquery provides download links,F
code,is somehow manipulating,the DOM,code is somehow manipulating the dom,F
the DOM,finishes,loading,the dom finishes loading,F
jQuery,provides,ways,jquery provides ways,F
way,add,jQuery,way add jquery,F
jQuery 3.x,removes,the ability,jquery 3.x removes the ability,F
jQuery code,conflicts with,another library,jquery code conflicts with another library,F
many functions,can perform,multiple changes,many functions can perform multiple changes,F
many functions,can perform,one call,many functions can perform one call,F
many functions,can perform,grouping,many functions can perform grouping,F
jQuery wrapped variables,wrapped,jQuery wrapped variables,jquery wrapped variables wrapped jquery wrapped variables,F
mistakes,is to utilize,jQuery,mistakes is to utilize jquery,F
the click event handler,was fired,the element,the click event handler was fired the element,F
mistakes,access,properties,mistakes access properties,F
the benefits,outweigh,the nominal speed differences,the benefits outweigh the nominal speed differences,F
the first example,is preferred,comparison,the first example is preferred comparison,F
the benefits,outweigh,sensitive applications,the benefits outweigh sensitive applications,F
the idiomatic syntax,is robust against,the injection,the idiomatic syntax is robust against the injection,F
a quote character,close,the attributes,a quote character close the attributes,F
a quote character,close,instance,a quote character close instance,F
a quote character,close,the 2nd example,a quote character close the 2nd example,F
C++,has,a similar syntax,c++ has a similar syntax,F
C++,was originally designed as,an extension,c++ was originally designed as an extension,F
C++,was developed in,a set,c++ was developed in a set,F
Building,improved,safety,building improved safety,F
Building,added,added support,building added added support,F
A question,should be tagged with,c,a question should be tagged with c,F
A question,should be tagged with,C++,a question should be tagged with c++,F
A question,should be tagged with,c++,a question should be tagged with c++,F
A question,should be tagged with,both c,a question should be tagged with both c,F
the user,are programming in,C,the user are programming in c,F
the tags,should be left,such cases,the tags should be left such cases,F
a C question,has never been tagged,c++,a c question has never been tagged c++,F
Answers,should be deleted as off,topic,answers should be deleted as off topic,F
the question,had,the C++ tag,the question had the c++ tag,F
the first international standard,would be informally known as,C++,the first international standard would be informally known as c++,F
the C++ Committee,responded to,multiple problems,the c++ committee responded to multiple problems,F
multiple problems,were reported with,c++,multiple problems were reported with c++,F
2011 a new standard,was published in,2011 a new standard,2011 a new standard was published in 2011 a new standard,F
2011 a new standard,was published in,IEC,2011 a new standard was published in iec,F
compilers,are supporting,the new language features,compilers are supporting the new language features,F
A few features,have been deferred to,the next iteration,a few features have been deferred to the next iteration,F
C++,was approved in,August,c++ was approved in august,F
C++,released in,December,c++ released in december,F
C++,released in,the same year,c++ released in the same year,F
C++,adds,major features,c++ adds major features,F
C++,adds,several minor ones,c++ adds several minor ones,F
the new standard,was approved,the ISO,the new standard was approved the iso,F
the new standard,was approved,September,the new standard was approved september,F
the new standard,published in,December,the new standard published in december,F
2020 the C++ Standard committee completed work,completed,2020 the C++ Standard committee completed work,2020 the c++ standard committee completed work completed 2020 the c++ standard committee completed work,F
2020 the C++ Standard committee completed work,completed,February,2020 the c++ standard committee completed work completed february,F
new features,been accepted into,the C++,new features been accepted into the c++,F
new features,have already been accepted,the C++,new features have already been accepted the c++,F
new clocks,requires,expressions,new clocks requires expressions,F
new clocks,requires,template constraints,new clocks requires template constraints,F
a type trait,detect scoped,enumerations Clang C++23 language support,a type trait detect scoped enumerations clang c++23 language support,F
A proposal,add,std,a proposal add std,F
new features,been accepted into,the C++23 draft,new features been accepted into the c++23 draft,F
new features,have already been accepted,the C++23 draft,new features have already been accepted the c++23 draft,F
elements,should be rendered on,paper,elements should be rendered on paper,F
elements,should be rendered on,screen,elements should be rendered on screen,F
elements,should be rendered on,speech,elements should be rendered on speech,F
elements,should be rendered on,other media,elements should be rendered on other media,F
elements,should be rendered on,paper,elements should be rendered on paper,F
elements,should be rendered on,screen,elements should be rendered on screen,F
elements,should be rendered on,speech,elements should be rendered on speech,F
elements,should be rendered on,other media,elements should be rendered on other media,F
elements,should be rendered on,paper,elements should be rendered on paper,F
elements,should be rendered on,screen,elements should be rendered on screen,F
elements,should be rendered on,speech,elements should be rendered on speech,F
elements,should be rendered on,other media,elements should be rendered on other media,F
HTML,deprecated,these attributes,html deprecated these attributes,F
The visual presentation,was originally defined by,HTML attributes,the visual presentation was originally defined by html attributes,F
CSS,was introduced to separate,the control,css was introduced to separate the control,F
H?kon Wium Lie,proposed,proposed Cascading HTML Style Sheets,h?kon wium lie proposed proposed cascading html style sheets,F
Lee,had been developing,a web browser,lee had been developing a web browser,F
Lee,inventing,inventing HTML,lee inventing inventing html,F
H?kon Wium Lie,proposed,October,h?kon wium lie proposed october,F
a pattern,matches,elements,a pattern matches elements,F
property declarations,define,the presentation,property declarations define the presentation,F
Each rule set,starts with,a selector,each rule set starts with a selector,F
a pattern,matches,a HTML,a pattern matches a html,F
a pattern,matches,XML document,a pattern matches xml document,F
a pattern,is followed by,a block,a pattern is followed by a block,F
The selector,is quasi-identical to,the selector,the selector is quasi-identical to the selector,F
example,illustrates,the cascading element,example illustrates the cascading element,F
example,illustrates,example,example illustrates example,F
the link,will have,a pink background,the link will have a pink background,F
the link,will have,Each rule,the link will have each rule,F
color,override those from,set,color override those from set,F
decoration properties,override those from,set,decoration properties override those from set,F
property value,is applied to,an element,property value is applied to an element,F
Selectors,have,priority,selectors have priority,F
selectors,using,a class name,selectors using a class name,F
selectors,have,priority,selectors have priority,F
important annotation,can be used to override,selector precedence,important annotation can be used to override selector precedence,F
specificity,should be used in,preference,specificity should be used in preference,F
occurrences,increase,specificity,occurrences increase specificity,F
selector,has,specificity,selector has specificity,F
a selector,could match,many elements,a selector could match many elements,F
Class selectors,have,specificity,class selectors have specificity,F
classes,will win against,element selectors,classes will win against element selectors,F
ID selectors,have,specificity,id selectors have specificity,F
IDs,will win against,class selectors,ids will win against class selectors,F
a project,has,multiple large CSS files,a project has multiple large css files,F
properties,are applied not only to,the mechanism,properties are applied not only to the mechanism,F
properties,are applied not only to,element,properties are applied not only to element,F
properties,are applied not only to,Inheritance descendants,properties are applied not only to inheritance descendants,F
properties,are applied not only to,the mechanism,properties are applied not only to the mechanism,F
properties,are applied not only to,element,properties are applied not only to element,F
properties,are applied not only to,Inheritance descendants,properties are applied not only to inheritance descendants,F
descendant elements,inherit,properties,descendant elements inherit properties,F
Internet Explorer,doesn????t support,this keyword,internet explorer doesn????t support this keyword,F
the operating system,powers many of,mobile devices,the operating system powers many of mobile devices,F
the operating system,powers many of,mobile devices,the operating system powers many of mobile devices,F
the operating system,be confused with,OS,the operating system be confused with os,F
18C66,released on,December,18c66 released on december,F
Applications,are written for,the Cocoa Touch framework,applications are written for the cocoa touch framework,F
Apple,announced,a new language,apple announced a new language,F
Apple,announced,June 2nd,apple announced june 2nd,F
a new language,could be used to develop,apps,a new language could be used to develop apps,F
Swift,is,September 17th,swift is september 17th,F
Each iOS application,runs in,iOS,each ios application runs in ios,F
extensions,extend,custom functionality,extensions extend custom functionality,F
an iOS application,can have,iOS,an ios application can have ios,F
extensions,extend,the application,extensions extend the application,F
iOS,is optimized for,the power,ios is optimized for the power,F
Interface,is based on,the concept,interface is based on the concept,F
Interface,is based on,multi-touch gestures,interface is based on multi-touch gestures,F
Internal accelerometers,rotating,rotating one application,internal accelerometers rotating rotating one application,F
one common result,is switching from,portrait,one common result is switching from portrait,F
one common result,is switching from,landscape mode,one common result is switching from landscape mode,F
one common result,is switching from,autorotation,one common result is switching from autorotation,F
Apple,adapted,adapted features,apple adapted adapted features,F
Apple,adapted,OS X,apple adapted os x,F
Many features,were implemented first in,including application sandboxing,many features were implemented first in including application sandboxing,F
Many features,were implemented first in,iOS,many features were implemented first in ios,F
the apple,covers,information regarding iOS development,the apple covers information regarding ios development,F
the developer documentation,provided by,the apple,the developer documentation provided by the apple,F
an Open Source RDBMS,runs as,a server providing multi-user access,an open source rdbms runs as a server providing multi-user access,F
MySQL,offers,using MySQL,mysql offers using mysql,F
applications,are compatible with,industry standards ODBC,applications are compatible with industry standards odbc,F
applications,are compatible with,JDBC,applications are compatible with jdbc,F
tools,are compatible with,industry standards ODBC,tools are compatible with industry standards odbc,F
tools,are compatible with,JDBC,tools are compatible with jdbc,F
these steps,will help,people,these steps will help people,F
Questions,should include,code examples,questions should include code examples,F
Questions,should include,table structure,questions should include table structure,F
Questions,should include,sample data,questions should include sample data,F
Questions,should include,a tag,questions should include a tag,F
question,relates solely to,a specific DBMS,question relates solely to a specific dbms,F
question,uses,features,question uses features,F
Answers,tagged with,Query Language,answers tagged with query language,F
standard SQL,stands for,Query Language,standard sql stands for query language,F
the word relation,is synonymous with,relational algebra,the word relation is synonymous with relational algebra,F
the word relation,is synonymous with,the word table,the word relation is synonymous with the word table,F
Many database implementations,require,the use,many database implementations require the use,F
vendors,have implemented,the years,vendors have implemented the years,F
standard SQL,is fractured,these deviations,standard sql is fractured these deviations,F
syntax,works on,one implementation,syntax works on one implementation,F
standards,have been beneficial in resolving,such situations,standards have been beneficial in resolving such situations,F
standards,should be portable to,other databases,standards should be portable to other databases,F
DBMSs,have,additional languages,dbmss have additional languages,F
Oracle,use,procedures,oracle use procedures,F
Oracle,use,functions,oracle use functions,F
PostgreSQL,use,procedures,postgresql use procedures,F
PostgreSQL,use,functions,postgresql use functions,F
the tags plsql,be used for,problems,the tags plsql be used for problems,F
plpgsql,be used for,problems,plpgsql be used for problems,F
the mysql tag,should be used for,tags,the mysql tag should be used for tags,F
the mysql tag,should be used for,general SQL programming language questions,the mysql tag should be used for general sql programming language questions,F
questions,should use,server tag,questions should use server tag,F
questions regarding MySQL,should use,the mysql tag,questions regarding mysql should use the mysql tag,F
questions,should use,example,questions should use example,F
these products,exist,the umbrella,these products exist the umbrella,F
functionality,is available for,the task,functionality is available for the task,F
these products,tagging,these products,these products tagging these products,F
MySQL questions,omit,the mysql tag,mysql questions omit the mysql tag,F
query discussions,stated as,MySQL,query discussions stated as mysql,F
query discussions,stated as,SQL,query discussions stated as sql,F
This tag,should be used for,questions,this tag should be used for questions,F
Questions,use,This tag,questions use this tag,F
specific questions,received on,Bioconductor Support,specific questions received on bioconductor support,F
specific questions,received on,Biostars,specific questions received on biostars,F
General questions,are unsuitable for,StackOverflow,general questions are unsuitable for stackoverflow,F
General questions,may be appropriate for,interest,general questions may be appropriate for interest,F
research,determine,appropriate venue,research determine appropriate venue,F
question,may be automatically migrated to,appropriate StackExchange site,question may be automatically migrated to appropriate stackexchange site,F
question,is put on,hold,question is put on hold,F
question,put on,hold,question put on hold,F
All alternative R engines,have,the goal,all alternative r engines have the goal,F
questions,get tagged with,simple name,questions get tagged with simple name,F
questions,get tagged with,the r tag,questions get tagged with the r tag,F
tags,mistagged,mistagged R questions,tags mistagged mistagged r questions,F
developing applications,make,heavy use,developing applications make heavy use,F
runtime,uses,Google's V8 JavaScript Engine,runtime uses google's v8 javascript engine,F
developing applications,rely on,the ability,developing applications rely on the ability,F
the CommonJS standard,allows for,development,the commonjs standard allows for development,F
the CommonJS standard,allows for,the distribution,the commonjs standard allows for the distribution,F
the CommonJS standard,allows for,packages,the commonjs standard allows for packages,F
ASP.NET,is useful to use,this tag,asp.net is useful to use this tag,F
ASP.NET,was first released in,January,asp.net was first released in january,F
ASP.NET,was first released in,version,asp.net was first released in version,F
ASP.NET,allowing,allowing programmers,asp.net allowing allowing programmers,F
a model,mimics,event model,a model mimics event model,F
Microsoft released version,released,Microsoft released version,microsoft released version released microsoft released version,F
Microsoft released version,released,March,microsoft released version released march,F
the position,can be computed from,index tuple,the position can be computed from index tuple,F
the position,can be computed from,a mathematical formula,the position can be computed from a mathematical formula,F
the length,must be set,some languages,the length must be set some languages,F
myarray,would represent,the first element,myarray would represent the first element,F
Elements,are usually specified with,example,elements are usually specified with example,F
Elements,are usually specified with,first index,elements are usually specified with first index,F
the length,would represent,the last element,the length would represent the last element,F
some languages,use 1 as,the initial index,some languages use 1 as the initial index,F
Some languages,have,collections,some languages have collections,F
Some languages,have,basic arrays,some languages have basic arrays,F
Basic arrays,have,size,basic arrays have size,F
Basic arrays,provide,element access,basic arrays provide element access,F
Basic arrays,are supported by,the compiler,basic arrays are supported by the compiler,F
Collections,have,a wide range,collections have a wide range,F
Basic arrays,should be used to name,such cases,basic arrays should be used to name such cases,F
Basic arrays,should be used to name,these basic arrays,basic arrays should be used to name these basic arrays,F
an array,is known as,example,an array is known as example,F
an array,is known as,dimensional array,an array is known as dimensional array,F
arrays,are called,matrices,arrays are called matrices,F
arrays,are called,other words,arrays are called other words,F
This tag,should be used with,general questions,this tag should be used with general questions,F
C,is distinct from,C,c is distinct from c,F
purpose computer programming language,developed between,the Bell Telephone Laboratories,purpose computer programming language developed between the bell telephone laboratories,F
purpose computer programming language,developed between,use,purpose computer programming language developed between use,F
purpose computer programming language,developed between,Dennis Ritchie,purpose computer programming language developed between dennis ritchie,F
constructs,map efficiently to,typical machine instructions,constructs map efficiently to typical machine instructions,F
purpose computer programming language,developed between,Dennis Ritchie,purpose computer programming language developed between dennis ritchie,F
purpose computer programming language,developed between,the Bell Telephone Laboratories,purpose computer programming language developed between the bell telephone laboratories,F
purpose computer programming language,developed between,use,purpose computer programming language developed between use,F
applications,been coded in,assembly language,applications been coded in assembly language,F
applications,had formerly been coded,assembly language,applications had formerly been coded assembly language,F
purpose computer programming language,provides,constructs,purpose computer programming language provides constructs,F
purpose computer programming language,developed between,the Bell Telephone Laboratories,purpose computer programming language developed between the bell telephone laboratories,F
purpose computer programming language,developed between,use,purpose computer programming language developed between use,F
purpose computer programming language,developed between,Dennis Ritchie,purpose computer programming language developed between dennis ritchie,F
programming languages,tend to emphasize,data,programming languages tend to emphasize data,F
optional library,are standardized as,IEC,optional library are standardized as iec,F
a C compiler,does not exist,few computer architectures,a c compiler does not exist few computer architectures,F
many other popular programming languages,began as,an extension,many other popular programming languages began as an extension,F
language constructs,require,time support,language constructs require time support,F
language constructs,map efficiently to,machine instructions,language constructs map efficiently to machine instructions,F
many applications,been coded in,assembly language,many applications been coded in assembly language,F
many applications,had formerly been coded,assembly language,many applications had formerly been coded assembly language,F
C program,can be compiled for,few changes,c program can be compiled for few changes,F
